Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack	John Williams	https://lastfm.freetls.fastly.net/i/u/300x300/8cdbc199ec0188e16a58a3c21284a4d2.jpg	19.0	276396.0	1004389200000.0	"[""soundtrack"",""harry potter"",""classical"",""instrumental"",""john williams"",""amazing"",""2000s"",""memories"",""2001"",""instrumental movie soundtrack"",""hook"",""christmas"",""love"",""soundtracks"",""beautiful"",""my special movies soundtrack""]"
Silent Hill 2	Akira Yamaoka	https://lastfm.freetls.fastly.net/i/u/300x300/6e06ecccaf48fb45be86a51f8c4864e7.jpg	30.0	169646.0	1004562000000.0	"[""ambient"",""soundtrack"",""instrumental"",""silent hill"",""dark ambient"",""video game music"",""japanese"",""piano"",""trip-hop"",""industrial"",""rock"",""electronic"",""beautiful"",""akira yamaoka"",""game ost"",""creepy""]"
Back to You (From 13 Reasons Why – Season 2 Soundtrack)	Selena Gomez	https://lastfm.freetls.fastly.net/i/u/300x300/a26a7fed185f7df77c986ed1ab7dcdb8.jpg		339890.0	1525899600000.0	"[""pop"",""soundtrack"",""selena gomez"",""edm"",""ziontwan"",""13 reasons why"",""dance"",""electropop"",""electronic"",""female vocalists"",""female vocalist"",""disney"",""pop rock"",""american"",""teen pop"",""rnb""]"
Game of Thrones	Ramin Djawadi	https://lastfm.freetls.fastly.net/i/u/300x300/791a10ab2380426493ac00f5d791ed99.jpg	29.0	114772.0	1309204800000.0	"[""soundtrack"",""game of thrones"",""instrumental"",""german"",""ramin djawadi"",""score"",""2011"",""got"",""composer"",""beautiful"",""short"",""ambient"",""dark mood"",""ost"",""king"",""arrival""]"
Succession: Season 1 (HBO Original Series Soundtrack)	Nicholas Britell	https://lastfm.freetls.fastly.net/i/u/300x300/f3632f908484dddd409c248761ce4944.jpg	26.0	133903.0	1565298000000.0	"[""soundtrack"",""strings"",""808"",""tv"",""instrumental"",""perfect intro"",""beautiful"",""series"",""classical"",""sad"",""dramatic"",""steady"",""powerful"",""melancholy"",""usa"",""wicked""]"
Music For The Motion Picture Into The Wild	Eddie Vedder	https://lastfm.freetls.fastly.net/i/u/300x300/c12f86cf48dc4deabaf260667102c8f0.jpg	11.0	448891.0	1189454400000.0	"[""soundtrack"",""acoustic"",""rock"",""singer-songwriter"",""into the wild"",""eddie vedder"",""grunge"",""folk"",""folkrock"",""instrumental"",""folk rock"",""loved"",""alternative"",""favourite albums"",""melancholy"",""sad""]"
Inception	Hans Zimmer	https://lastfm.freetls.fastly.net/i/u/300x300/899ae404dc224d70bc8e6a5224c803f4.jpg	14.0	174875.0		"[""soundtrack"",""instrumental"",""inception"",""epic"",""2010"",""orchestral"",""ambient"",""beautiful"",""hans zimmer"",""score"",""film score"",""favourite albums"",""german"",""ost"",""classical"",""design""]"
Inception	Hans Zimmer	https://lastfm.freetls.fastly.net/i/u/300x300/899ae404dc224d70bc8e6a5224c803f4.jpg	14.0	174875.0		"[""soundtrack"",""instrumental"",""inception"",""epic"",""2010"",""orchestral"",""ambient"",""beautiful"",""hans zimmer"",""score"",""film score"",""favourite albums"",""german"",""ost"",""classical"",""design""]"
Blade Runner 2049 (Original Motion Picture Soundtrack)	Hans Zimmer	https://lastfm.freetls.fastly.net/i/u/300x300/a9ba49094731ed61f86bbc8110cc7782.jpg	24.0	138864.0	1507150800000.0	"[""oldies"",""60s"",""classic rock"",""rock"",""jazz"",""love"",""swing"",""elvis"",""elvis presley"",""easy listening"",""frank sinatra"",""male vocalists"",""rock n roll"",""soundtrack"",""rock and roll"",""vocal jazz""]"
Amelie From Montmartre (Original SoundTrack)	Yann Tiersen	https://lastfm.freetls.fastly.net/i/u/300x300/5cf2e7a7d9f84a6980c545116390206b.jpg	25.0	212182.0	987969600000.0	"[""soundtrack"",""instrumental"",""piano"",""french"",""accordion"",""amelie"",""yann tiersen"",""ambient"",""classical"",""beautiful"",""waltz"",""chanson"",""melancholy"",""melancholic"",""oldies"",""jazz""]"
